        125

  0  0 41  0  0 30  0  0 31  0  0  0 30 31 41 30  0  0 31  0 24 41 40  0  1 30  0  0  1  0 40 40  0  0 31 21  0  0  9  0  0 31  0  0 24 40 41 41 41  0  0  0 14 30  0 40  0  0 21  0  0 31  0 40 41  0 24 41  0  0  0  0 30  0  0  0 31  3 30  0 31 41 30  0  0 40  0  0 41  0  0 40 14  0 40 30 30  0  0 31  0  0 40 18 30  0 40  0  0 41 18 21 40  0 31  0 30  8  0  1 31  0 31 40 41
  0  0 12  0  0 37  0  0 30  0  0  0 37 30  8 37  0  0 30  0 41  5 38  0  0 37  0  0 41  2 38 38  0  0 30 41  0  0 41  0  0 30  4  0 41 38 10 21 12  0  0  0 41 37  0 38  0  0 41  0  0 30  0 38 14  0 41 11  0  0  0  0 37  0  0  0 30 41 37  0 30 21 37  0  0 38  0  0 14  0  0 38 41  0 38 37 37  0  0 30  0  1 38 41 37  0 38  0  0 11 41 41 38  0 30  0 37  0  0  0 30  0 30 38 12
 41 12  0 12 38  0 37 38  0 41 38 13  0  0  0  0 38 38  0 24  0  0  1 41 30  0 41 24  0  4  0  0 30 30  0  0 37 30  0 24 37  0 12 30  0  0  5  0  2 37 37 37  0  0 41  0 37 12  0 38 30  0 41  0  0  5  0  0 41 30 37 37  0 37 38 12  0  0  0 38  0  0  0 41 38  0 30 30  0 30 30  0  0 37  0  0  0 13 38  0 37 30  0  0  0 41  0 13 41  0  0  0  0 30  0 37  0 41 38 41  0 38  0  0  2
  0  0 12  0  0 37  0  0 30  0  0  0 37 30 21 37  0  0 30  0 41 21 38  0  0 37  0  1 41  0 38 38  0  0 30 41  0  1 41  0  0 30  0  0 41 38 21  2 12  0  0  0 41 37  0 38  0  3 41  0  0 30  0 38 17  0 41 12  0  0  0  0 37  0  0  6 30 41 37  0 30  5 37  0  0 38  0  0 17  0  0 38 41  0 38 37 37  3  0 30  0  0 38 41 37  0 38  0  0 12 41 41 38  1 30  0 37  0  0  0 30  0 30 38 12
  0  0 38  0  0 33  0  0 35  0  0  0 33 35 38 33  0  0 35  0 40 38 23  0  0 33  0  0 40  0  5 24  0  0 35 40  0  0 40  0  0 35  0  0 40 22 38 38 38  0  0  0 40 33  0 17  0  0 40  0  0 35  0 23 38  0 40 38  0  0  0  0 33  0  1  0 35 40 33  5 35 38 33  0  0 24  0  0 38  0  0 17 40  0 22 33 33  0  0 35  0  0 23 40 33  0 10  0  0 38 40 40 17  0 35  0 33  0  0  0 35  0 35  1 38
 30 37  0 37 33  0  9 33  0 30 33 37  3  1  0  0 33 33  0 37  0  0  0 30 40  0 30 37  0 37  0  0 40 40  0  0 20 40  0 37 13  0 37 40  0  0  0  0  0 20 20 23  1  0 30  0 12 37  0 33 40  0 30  0  0 37  0  0 30 40 12  1  0 23 33 37  0  0  1 33  0  0  0 30 33  0 40 40  0 40 40  0  0 23  0  0  0 37 33  0 13 40  0  0  0 30  0 37 30  0  0  0  0 40  0  4  0 30 33 30  0 33  0  0  0
  0  0 37  0  0  9  0  0 40  0  0  0  5 40 37 13  0  0 40  0 30 37 33  0  0 20  0  0 30  0 33 33  0  0 40 30  1  0 30  0  0 40  0  0 30 33 37 37 37  0  0  0 30 13  0 33  0  0 30  1  0 40  0 33 37  0 30 37  0  0  0  3 13  1  0  0 40 30 23  0 40 37 12  0  0 33  0  0 37  0  0 33 30  0 33 23 12  0  0 40  0  0 33 30 12  0 33  0  0 37 30 30 33  0 40  1 20  0  0  0 40  0 40 33 37
  0  0 38  0  0 33  0  0 35  0  0  0 33 35 38 33  0  8 35  0 40 38 18  0  0 33  0  0 40  0 24  6  0  0 35 40  0  0 40  0  0 35  0  0 40 15 38 38 38  0  0  0 40 33  0 14  0  0 40  0  0 35  0 18 38  0 40 38  0  0  0  0 33  0  0  0 35 40 33  0 35 38 33  0  0  1  0  0 38  0  0 14 40  0 15 33 33  0  8 35  0  0 18 40 33  0 24  0  0 38 40 40 14  0 35  0 33  0  3  0 35  0 35 24 38
 31 30  0 30 35  0 40 35  0 31 35 30  0  0  0  0 35 35  0 30  0  0  0 31 14  0 31 30  0 30  0  0 12 11  0  0 40 11  0 30 40  0 30  5  0  0  0  0  0 40 40 40  0  0 31  0 40 30  0 35 11  0 31  0  0 30  0  0 31 12 40 40  0 40 35 30  9  0  0 35  0  0  0 31 35  0 14 14  0 14 14  0  0 40  0  0  0 30 35  0 40  1  0  0  0 31  1 30 31  0  0  1  0 12  1 40  0 31 35 31  0 35  4  0  1
  0  0 41  0  0 30  0  0 31  0  0  0 30 31 41 30  0  0 31  0 13 41 40  0  0 30  0  0 18  0 40 40  0  0 31 25  0  0 18  0  0 31  0  0 13 40 41 41 41  0  0  0 22 30  3 40  0  0 25  0  0 31  0 40 41  0 13 41 10  0  0  0 30  0  0  0 31 18 30  0 31 41 30  0  0 40  0  0 41  0  0 40 22  0 40 30 30  0  0 31  0  0 40  4 30  0 40  0  0 41 10 25 40  0 31  1 30  0  0  0 31  0 31 40 41
